"Scenario","Parameter","Estimate","SD","CV","Gradient"
"a_m3_s3","InitF_seas_1_flt_1Commercial",0.19,0.08,0.42," 7.6e-08"
"a_m3_s3","Size_DblN_peak_Commercial(1)",25.85,1.79,0.07,"-2.9e-08"
"a_m3_s3","Size_DblN_ascend_se_Commercial(1)",2.25,0.98,0.44," 1.5e-08"
"a_m3_s4","SR_LN(R0)",4.97,0.32,0.06,"-3.0e-05"
"a_m3_s4","InitF_seas_1_flt_1Commercial",0.05,0.07,1.4," 5.7e-06"
"a_m3_s4","Size_DblN_peak_Commercial(1)",26.02,1.74,0.07,"-7.7e-06"
"a_m3_s4","Size_DblN_ascend_se_Commercial(1)",2.29,0.95,0.41," 8.6e-05"
"a_m3_s5","SR_LN(R0)",3.74,0.15,0.04,"-3.0e-05"
"a_m3_s5","InitF_seas_1_flt_1Commercial",0.08,0.06,0.75," 2.3e-05"
"a_m3_s5","Size_DblN_peak_Commercial(1)",26.59,1.5,0.06," 8.0e-06"
"a_m3_s5","Size_DblN_ascend_se_Commercial(1)",2.42,0.81,0.33,"-3.6e-06"
"a_m3_s6","SR_LN(R0)",3.74,0.15,0.04,"-1.7e-05"
"a_m3_s6","InitF_seas_1_flt_1Commercial",0.08,0.06,0.75," 9.4e-06"
"a_m3_s6","Size_DblN_peak_Commercial(1)",26.59,1.5,0.06," 6.0e-05"
"a_m3_s6","Size_DblN_ascend_se_Commercial(1)",2.42,0.81,0.33,"-4.4e-05"
"b_m1","SR_LN(R0)",5.77,0.15,0.03," 1.5e-05"
"b_m1","InitF_seas_1_flt_1Commercial",0.16,0.04,0.25," 2.7e-05"
"b_m1","Size_DblN_peak_Commercial(1)",25.71,1.94,0.08,"-3.8e-07"
"b_m1","Size_DblN_ascend_se_Commercial(1)",2.27,1.05,0.46," 6.5e-07"
"b_m2","SR_LN(R0)",5.9,0.19,0.03," 2.6e-08"
"b_m2","InitF_seas_1_flt_1Commercial",0.13,0.04,0.31," 5.4e-08"
"b_m2","Size_DblN_peak_Commercial(1)",25.51,2.02,0.08,"-1.5e-08"
"b_m2","Size_DblN_ascend_se_Commercial(1)",2.18,1.09,0.5," 1.5e-08"
"b_m3","SR_LN(R0)",5.29,0.33,0.06," 1.4e-06"
"b_m3","InitF_seas_1_flt_1Commercial",0.12,0.03,0.25,"-9.4e-06"
"b_m3","Size_DblN_peak_Commercial(1)",25.89,1.82,0.07,"-1.6e-05"
"b_m3","Size_DblN_ascend_se_Commercial(1)",2.27,0.98,0.43," 1.1e-05"
"b_m3_s1","SR_LN(R0)",5.17,0.3,0.06,"-1.7e-06"
"b_m3_s1","InitF_seas_1_flt_1Commercial",0.13,0.04,0.31," 2.1e-07"
"b_m3_s1","Size_DblN_peak_Commercial(1)",25.78,1.83,0.07,"-1.2e-06"
"b_m3_s1","Size_DblN_ascend_se_Commercial(1)",2.23,1,0.45," 2.0e-06"
"b_m3_s2","SR_LN(R0)",3.97,0.09,0.02," 1.7e-05"
"b_m3_s2","InitF_seas_1_flt_1Commercial",0.22,0.04,0.18,"-1.7e-05"
"b_m3_s2","Size_DblN_peak_Commercial(1)",26.62,1.53,0.06," 8.9e-06"
"b_m3_s2","Size_DblN_ascend_se_Commercial(1)",2.46,0.81,0.33,"-6.8e-06"
"b_m3_s3","SR_LN(R0)",5.29,0.33,0.06," 4.7e-05"
"b_m3_s3","InitF_seas_1_flt_1Commercial",0.12,0.03,0.25," 6.5e-05"
"b_m3_s3","Size_DblN_peak_Commercial(1)",25.89,1.82,0.07,"-4.5e-05"
"b_m3_s3","Size_DblN_ascend_se_Commercial(1)",2.27,0.98,0.43," 4.1e-05"
"b_m3_s4","SR_LN(R0)",4.69,0.18,0.04,"-1.0e-05"
